dsb_sense_id|slownet_synset_id
8273141|eng-30-00001740-a
39288|eng-30-00001740-a
814|eng-30-00001740-v
9138|eng-30-00001740-v
8266949|eng-30-00002452-n
8266948|eng-30-00002452-n
8279413|eng-30-00003483-b
8279415|eng-30-00003483-b
8318693|eng-30-00004722-b
100585|eng-30-00004722-b
8318694|eng-30-00004722-b
12781|eng-30-00004722-b
8269066|eng-30-00004722-b
12818|eng-30-00004722-b
8269053|eng-30-00004722-b
8318697|eng-30-00004722-b
100588|eng-30-00004722-b
1411|eng-30-00005041-v
9138|eng-30-00005041-v
8269178|eng-30-00005205-a
8269179|eng-30-00005205-a
8246|eng-30-00005526-v
8252|eng-30-00005526-v
8280276|eng-30-00005779-b
8279445|eng-30-00005779-b
8240040|eng-30-00006105-b
45848|eng-30-00006105-b
8320255|eng-30-00006336-a
8320257|eng-30-00006336-a
8320256|eng-30-00006336-a
8320258|eng-30-00006336-a
44964|eng-30-00007015-b
8279460|eng-30-00007015-b
8279456|eng-30-00007015-b
8279463|eng-30-00007015-b
44302|eng-30-00007015-b
8269049|eng-30-00007015-b
8279805|eng-30-00007703-b
8279806|eng-30-00007703-b
75834|eng-30-00007846-n
8287484|eng-30-00007846-n
80591|eng-30-00007846-n
8287482|eng-30-00007846-n
8279238|eng-30-00008007-b
8279714|eng-30-00008007-b
8279723|eng-30-00008007-b
8279715|eng-30-00008007-b
8279239|eng-30-00008007-b
40460|eng-30-00008600-b
12781|eng-30-00008600-b
40485|eng-30-00008600-b
41196|eng-30-00008600-b
8269069|eng-30-00008600-b
8269066|eng-30-00008600-b
12818|eng-30-00008600-b
8269053|eng-30-00008600-b
39531|eng-30-00008997-b
8279237|eng-30-00008997-b
43813|eng-30-00008997-b
8279238|eng-30-00008997-b
43909|eng-30-00008997-b
8279714|eng-30-00008997-b
44970|eng-30-00008997-b
8280115|eng-30-00008997-b
13022|eng-30-00009346-a
38090|eng-30-00009346-a
759|eng-30-00010435-v
8258240|eng-30-00010435-v
8258241|eng-30-00010435-v
2939|eng-30-00010435-v
8262114|eng-30-00010435-v
8322110|eng-30-00010435-v
8546|eng-30-00010435-v
8262115|eng-30-00010435-v
8322111|eng-30-00010435-v
8271996|eng-30-00010726-a
8271995|eng-30-00010726-a
8273520|eng-30-00010726-a
8271995|eng-30-00011327-a
8273520|eng-30-00011327-a
8367987|eng-30-00011327-a
8367988|eng-30-00011327-a
8272016|eng-30-00011327-a
8193647|eng-30-00012434-v
8193648|eng-30-00012434-v
8259468|eng-30-00013615-v
8259469|eng-30-00013615-v
15867|eng-30-00013662-a
8271571|eng-30-00013662-a
30012|eng-30-00013662-a
8269184|eng-30-00013662-a
32208|eng-30-00013662-a
8276470|eng-30-00013662-a
8271572|eng-30-00013662-a
